GLOBAL UNIQUE IDENTIFIER	COMMON NAME	SCIENTIFIC NAME	OBSERVATION COUNT	COUNTRY	STATE	LOCALITY	LATITUDE	LONGITUDE	OBSERVATION DATE	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	ALL SPECIES REPORTED
URN:CornellLabOfOrnithology:EBIRD:OBS1000000056	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	11.244	-69.055	2025-01-25	obsr4671545	S288856883	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000057	Baltimore Oriole	Icterus galbula	4		Panama	Panama	9.449	-85.453	2025-01-17	obsr1842524	S698509918	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000058	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.878	-81.302	2025-01-28	obsr8658158	S243171768	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000059	Baltimore Oriole	Icterus galbula	3		Panama	Panama	9.777	-83.99	2025-01-22	obsr8425149	S757830420	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000060	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	14.789	-79.934	2025-01-17	obsr8481188	S270894498	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000061	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	8.981	-74.863	2025-01-28	obsr8550917	S378304807	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000062	Baltimore Oriole	Icterus galbula	3		Florida	Florida	28.085	-81.493	2025-01-27	obsr9745959	S620332086	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000063	Baltimore Oriole	Icterus galbula	3		Panama	Panama	9.571	-83.425	2025-01-08	obsr8379837	S183197117	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000064	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	7.059	-70.603	2025-01-10	obsr5558623	S460613550	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000065	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.41	-81.867	2025-01-18	obsr3321531	S261953189	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000066	Baltimore Oriole	Icterus galbula	2		Florida	Florida	25.466	-79.872	2025-01-13	obsr4589533	S168965204	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000067	Baltimore Oriole	Icterus galbula	3		Florida	Florida	27.058	-81.079	2025-01-14	obsr8816912	S546434187	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000068	Baltimore Oriole	Icterus galbula	4		Panama	Panama	10.479	-81.543	2025-01-07	obsr7534336	S926561919	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000069	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	11.755	-78.263	2025-01-23	obsr7381734	S612153089	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000070	Baltimore Oriole	Icterus galbula	2		Florida	Florida	28.353	-81.859	2025-02-03	obsr5438490	S945923902	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000071	Baltimore Oriole	Icterus galbula	2		Florida	Florida	26.54	-80.735	2025-02-19	obsr8132648	S223240112	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000072	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	15.647	-75.552	2025-02-08	obsr5456573	S987588450	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000073	Baltimore Oriole	Icterus galbula	1		Panama	Panama	10.712	-82.331	2025-02-03	obsr3783722	S951078441	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000074	Baltimore Oriole	Icterus galbula	3		Panama	Panama	6.658	-83.746	2025-02-20	obsr8367772	S233523720	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000075	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	15.879	-74.34	2025-02-23	obsr7752972	S392322121	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000076	Baltimore Oriole	Icterus galbula	4		Florida	Florida	27.083	-84.055	2025-02-18	obsr8344375	S186373782	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000077	Baltimore Oriole	Icterus galbula	4		Panama	Panama	8.463	-82.435	2025-02-02	obsr6407658	S748232591	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000078	Baltimore Oriole	Icterus galbula	1		Panama	Panama	8.295	-81.151	2025-02-01	obsr4840714	S824022357	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000079	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	9.826	-74.286	2025-02-19	obsr5521644	S718740490	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000080	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	6.961	-71.531	2025-02-25	obsr8893693	S657233178	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000081	Baltimore Oriole	Icterus galbula	3		Florida	Florida	28.308	-83.507	2025-02-15	obsr4044882	S728492896	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000082	Baltimore Oriole	Icterus galbula	4		Panama	Panama	8.509	-82.004	2025-02-21	obsr2530793	S604669821	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000083	Baltimore Oriole	Icterus galbula	3		Florida	Florida	27.835	-81.427	2025-02-14	obsr6386463	S819550381	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000084	Baltimore Oriole	Icterus galbula	2		Florida	Florida	27.557	-81.208	2025-02-28	obsr6533187	S542000551	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000085	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	5.787	-71.147	2025-02-16	obsr7718473	S973559879	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000086	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	8.153	-74.215	2025-02-02	obsr2477398	S437710224	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000087	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.651	-82.401	2025-02-11	obsr7780932	S652543518	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000088	Baltimore Oriole	Icterus galbula	4		Panama	Panama	6.615	-86.052	2025-02-22	obsr7933143	S158201193	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000089	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	18.028	-76.771	2025-02-17	obsr9363326	S771527524	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000090	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	5.954	-78.06	2025-02-25	obsr4415140	S386749454	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000091	Baltimore Oriole	Icterus galbula	3		Panama	Panama	8.205	-80.375	2025-02-05	obsr8350368	S849740261	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000092	Baltimore Oriole	Icterus galbula	1		Florida	Florida	28.642	-80.987	2025-02-04	obsr5014745	S862123506	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000093	Baltimore Oriole	Icterus galbula	1		Florida	Florida	28.89	-81.417	2025-02-10	obsr7844947	S200082623	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000094	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	4.892	-74.816	2025-02-27	obsr8741810	S226128312	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000095	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	18.808	-77.583	2025-02-27	obsr9361353	S869446962	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000096	Baltimore Oriole	Icterus galbula	3		Panama	Panama	8.518	-82.399	2025-02-17	obsr7970771	S996278008	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000097	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	19.137	-74.711	2025-02-16	obsr8663605	S691916368	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000098	Baltimore Oriole	Icterus galbula	2		Panama	Panama	9.577	-83.734	2025-02-13	obsr9526867	S901325519	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000099	Baltimore Oriole	Icterus galbula	1		Florida	Florida	27.63	-82.17	2025-02-28	obsr5634662	S929653607	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000100	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	7.63	-76.591	2025-02-11	obsr1043037	S403696046	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000101	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	17.622	-73.676	2025-02-10	obsr3493017	S579476614	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000102	Baltimore Oriole	Icterus galbula	3		Panama	Panama	7.213	-80.772	2025-02-16	obsr6577416	S692616814	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000103	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	12.378	-72.835	2025-02-13	obsr6398528	S302563940	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000104	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	8.95	-76.968	2025-02-08	obsr4918527	S932734539	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000105	Baltimore Oriole	Icterus galbula	3		Panama	Panama	7.817	-82.891	2025-02-02	obsr8935224	S857232668	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000106	Baltimore Oriole	Icterus galbula	2		Panama	Panama	10.545	-83.05	2025-02-13	obsr9310235	S139749508	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000107	Baltimore Oriole	Icterus galbula	3		Panama	Panama	10.213	-82.085	2025-02-17	obsr2683838	S572775194	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000108	Baltimore Oriole	Icterus galbula	4		Panama	Panama	7.693	-80.142	2025-02-17	obsr1257489	S875718152	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000109	Baltimore Oriole	Icterus galbula	2		Panama	Panama	10.039	-81.462	2025-02-14	obsr2255409	S604111692	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000110	Baltimore Oriole	Icterus galbula	4		Panama	Panama	8.622	-83.395	2025-02-11	obsr2347467	S452794611	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000111	Baltimore Oriole	Icterus galbula	4		Panama	Panama	7.411	-82.518	2025-02-28	obsr6312692	S773020489	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000112	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	9.836	-73.698	2025-02-25	obsr1602286	S762992051	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000113	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	6.457	-74.235	2025-02-08	obsr4816586	S901834280	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000114	Baltimore Oriole	Icterus galbula	1		Panama	Panama	13.208	-85.75	2025-02-14	obsr2686231	S576396216	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000115	Baltimore Oriole	Icterus galbula	3		Panama	Panama	10.323	-83.313	2025-02-23	obsr1485654	S149382425	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000116	Baltimore Oriole	Icterus galbula	1		Colombia	Colombia	10.975	-72.513	2025-02-26	obsr5921894	S484897084	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000117	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	3.402	-73.274	2025-02-14	obsr5096953	S670335494	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000118	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	21.523	-75.706	2025-02-19	obsr3851852	S287979290	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000119	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	6.309	-76.573	2025-02-20	obsr5040453	S634366139	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000120	Baltimore Oriole	Icterus galbula	2		Panama	Panama	8.654	-78.247	2025-02-05	obsr8736811	S784944881	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000121	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	9.22	-74.361	2025-02-15	obsr1157662	S963968184	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000122	Baltimore Oriole	Icterus galbula	2		Cuba	Cuba	19.36	-76.53	2025-02-10	obsr2239197	S574303740	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000123	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	12.346	-74.571	2025-02-19	obsr8118722	S841218491	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000124	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	18.232	-76.982	2025-02-15	obsr4342306	S513061224	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000125	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	10.091	-73.611	2025-02-04	obsr7398231	S714097318	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000126	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	7.692	-71.137	2025-02-19	obsr5953150	S123557463	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000127	Baltimore Oriole	Icterus galbula	3		Florida	Florida	27.717	-81.167	2025-02-13	obsr1135861	S707661655	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000128	Baltimore Oriole	Icterus galbula	1		Panama	Panama	7.937	-84.696	2025-02-25	obsr9333700	S994253959	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000129	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	3.757	-70.713	2025-02-25	obsr6910964	S335154329	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000130	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	10.396	-72.964	2025-02-07	obsr3294774	S774576271	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000131	Baltimore Oriole	Icterus galbula	1		Panama	Panama	7.817	-84.285	2025-02-21	obsr6183033	S946764061	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000132	Baltimore Oriole	Icterus galbula	3		Cuba	Cuba	21.464	-80.515	2025-02-02	obsr3204724	S196779973	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000133	Baltimore Oriole	Icterus galbula	4		Colombia	Colombia	6.952	-75.247	2025-02-11	obsr3946751	S315601773	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000134	Baltimore Oriole	Icterus galbula	3		Panama	Panama	10.407	-77.283	2025-02-26	obsr9906224	S638798023	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000135	Baltimore Oriole	Icterus galbula	2		Colombia	Colombia	5.38	-72.72	2025-02-27	obsr5311242	S985503942	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000136	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	8.678	-71.384	2025-02-26	obsr6682698	S963538119	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000137	Baltimore Oriole	Icterus galbula	1		Panama	Panama	10.28	-80.864	2025-02-15	obsr3361510	S909763993	Traveling	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000138	Baltimore Oriole	Icterus galbula	4		Cuba	Cuba	19.08	-77.557	2025-02-28	obsr7136687	S196961971	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000139	Baltimore Oriole	Icterus galbula	3		Colombia	Colombia	11.637	-74.011	2025-02-01	obsr3073474	S588322781	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000140	Baltimore Oriole	Icterus galbula	2		Central America	Central America	9.805	-78.553	2025-03-10	obsr3302417	S920511515	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000141	Baltimore Oriole	Icterus galbula	3		Central America	Central America	11.671	-75.886	2025-03-10	obsr3013003	S108299923	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000142	Baltimore Oriole	Icterus galbula	4		Mexico	Mexico	18.61	-84.872	2025-03-24	obsr3947669	S238712095	Stationary	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000143	Baltimore Oriole	Icterus galbula	2		Central America	Central America	11.327	-75.476	2025-03-18	obsr9393009	S699924859	Incidental	1
URN:CornellLabOfOrnithology:EBIRD:OBS1000000144	Baltimore Oriole	Icterus galbula	3		Mexico	Mexico	14.326	-87.548	2025-03-26	obsr2209226	S526351920	Incidental	1
